Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,t
BSG,,0.33333333333333326,0.6666666666666665,0,0.6666666666666665,0,0.6666666666666665,-0.02604933036744377
CAV1,,0.33333333333333326,0,0.6666666666666665,-0.6666666666666665,0,-0.6666666666666665,0.6211350658093464
CTCF,P,0,1,0,1,1,1,0.22227469363939065
E2F1,P,0,1,0,1,1,1,-0.029805659005690707
E2F4,P,0,1,0,1,1,1,0.3273402058110667
EGFR,,0.5555555555555556,0.1111111111111111,0.33333333333333326,-0.22222222222222218,0,-0.22222222222222218,1.0517209125855738
EGR1,P,0,1,0,1,1,1,-1.3411826309831427
Enzyme1338__AKR1A1,,0,1,0,1,0,1,NA
Enzyme1338__AKR1B1,,0,1,0,1,0,1,NA
Enzyme1338__AKR7A2,,0,1,0,1,0,1,NA
Enzyme222200002__SLC16A1,,0,1,0,1,0,1,NA
Enzyme2759__orphanReacLACLt,,0,1,0,1,0,1,NA
Enzyme3860__ALDH9A1,,0,1,0,1,0,1,NA
Enzyme7338__LDHA_reverse,,0,1,0,1,0,1,NA
Enzyme7338__LDHB_reverse,,0,1,0,1,0,1,NA
Enzyme7338__UEVLD_reverse,,0,1,0,1,0,1,NA
Enzyme757700002__BSG,,0,1,0,1,0,1,NA
Enzyme9047__SLC2A1,,0,1,0,1,0,1,NA
Enzyme9047__SLC2A6,,0,1,0,1,0,1,NA
Enzyme9047__SLC2A8,,0,1,0,1,0,1,NA
Enzyme9049__SLC2A1_reverse,,0,1,0,1,0,1,NA
Enzyme9172__LDHA_reverse,,0,1,0,1,0,1,NA
Enzyme9172__LDHB_reverse,,0,1,0,1,0,1,NA
Enzyme918200002__SLC16A1,,0,1,0,1,0,1,NA
ETS1,P,0,1,0,1,1,1,-0.3461477058861848
FGFR1,,0.6666666666666665,0.33333333333333326,0,0.33333333333333326,0,0.33333333333333326,0.7009276096509078
HIF1A,P,0,1,0,1,1,1,-0.37595083927143297
IRS1,,0.7777777777777779,0,0.2222222222222222,-0.2222222222222222,0,-0.2222222222222222,0.9586599402326218
JUN,P,0,1,0,1,1,1,0.8847499631187621
LDHA,,0.6666666666666665,0.33333333333333326,0,0.33333333333333326,0,0.33333333333333326,0.193049702825409
MAPK1,,0.8888888888888888,0,0.1111111111111111,-0.1111111111111111,0,-0.1111111111111111,0.4173948118289817
MAPK14,,0.5555555555555556,0.33333333333333326,0.1111111111111111,0.22222222222222218,0,0.22222222222222218,-0.10005060041549478
MAPK3,,0.8888888888888888,0,0.1111111111111111,-0.1111111111111111,0,-0.1111111111111111,-0.8200158594968523
Metab__D-Glucitol_c,M,0,1,0,1,1,1,NA
Metab__D-Glucose_c,,0,1,0,1,0,1,NA
Metab__L-Lactic acid_c,M,0,1,0,1,1,1,NA
Metab__L-Lactic acid_e,,0.33333333333333326,0.6666666666666665,0,0.6666666666666665,0,0.6666666666666665,NA
Metab__L-Lactic acid_m,M,0,1,0,1,1,1,NA
NFKB1,P,0,1,0,1,1,1,1.1715312352185006
PLK1,,0.8888888888888888,0.1111111111111111,0,0.1111111111111111,0,0.1111111111111111,1.0795996260502827
PML,,0.8888888888888888,0.1111111111111111,0,0.1111111111111111,0,0.1111111111111111,1.085730060802947
PRKCA,,0.7777777777777779,0.2222222222222222,0,0.2222222222222222,0,0.2222222222222222,1.4618283991952639
PTPN1,,0.8888888888888888,0.1111111111111111,0,0.1111111111111111,0,0.1111111111111111,-0.23817026720928025
RARA,P,0,1,0,1,1,1,0.4083965683607326
RELA,P,0,1,0,1,1,1,1.2483436879403556
SLC2A1,,0,1,0,1,0,1,1.4250781067817526
SP1,P,0,1,0,1,1,1,-0.25584678467620686
STAT1,P,0,1,0,1,1,1,1.0368763418899971
TP53,,0.8888888888888888,0,0.1111111111111111,-0.1111111111111111,0,-0.1111111111111111,-1.0254170596200585
