source,interaction,target,sign
ABL1,1,BCAR1,1
ABL1,1,CAV1,1
ABL1,1,CTNNB1,-1
ABL1,1,EGFR,1
ABL1,1,EPHB2,1
ABL1,1,JUN,1
ABL1,1,MAP3K1,1
ABL1,1,STAT1,1
AKT1,1,GSK3B,1
AKT1,1,ITGB1,1
AKT1,1,JUN,1
AKT1,1,MYC,-1
AKT1,1,PRKACA,1
BCAR1,1,MAPK8,1
BCAR1,1,PIK3R1,1
CAV1,1,MMP14,-1
CAV1,1,PPP2CA,-1
CTNNB1,1,ID2,1
CTNNB1,1,MYC,1
CTNNB1,1,NOTCH1,1
EGFR,1,CAV1,1
EGFR,1,CTNNB1,-1
EGFR,1,HRAS,1
EGFR,1,KITLG,1
EGFR,1,MAP2K1,1
EGFR,1,PIK3R1,1
EGFR,1,PRKDC,1
EGFR,1,PTK2,1
EGFR,1,PTPN1,1
EGFR,1,STAT1,1
EGFR,1,STAT3,1
EGFR,1,STAT5B,1
EGFR,1,TNK2,1
EPHB2,1,PIK3R1,1
EPHB2,1,SRC,1
EPHB2,1,STAT1,1
GSK3B,1,CCNE1,-1
GSK3B,1,CTNNB1,-1
GSK3B,1,MAP3K1,1
GSK3B,1,MYC,-1
GSK3B,1,TP53,1
HRAS,1,JUN,1
HRAS,1,MAP3K1,1
HRAS,1,MAPK1,1
HRAS,1,MAPK8,1
HRAS,1,PIK3R1,1
HRAS,1,RAF1,1
ITGAV,1,PTK2,1
ITGB1,1,EGFR,1
ITGB1,1,PRKACA,1
ITGB1,1,PTK2,1
ITGB1,1,PTK2B,1
JUN,1,EGFR,1
JUN,1,MYC,-1
KITLG,1,AKT1,1
KITLG,1,EGFR,1
KITLG,1,STAT3,1
MAP2K1,1,GSK3B,1
MAP2K1,1,MAPK1,1
MAP2K1,1,MAPK14,1
MAP2K1,1,MAPK3,1
MAP2K1,1,MAPK8,1
MAP2K1,1,MAPK9,1
MAP2K1,1,RPS6KA4,1
MAP2K1,1,STAT3,1
MAP3K1,1,MAP2K1,1
MAP3K1,1,MAPK1,1
MAP3K1,1,MAPK14,1
MAP3K1,1,MAPK3,1
MAP3K1,1,MAPK8,1
MAP3K1,1,STAT3,1
MAPK1,1,JUN,1
MAPK1,1,MAPK3,1
MAPK1,1,PRKACA,1
MAPK1,1,RAF1,1
MAPK1,1,RPS6KA4,1
MAPK1,1,STAT1,1
MAPK1,1,STAT3,1
MAPK1,1,TP53,1
MAPK14,1,EPHB2,1
MAPK14,1,JUN,1
MAPK14,1,RPS6KA4,1
MAPK14,1,STAT1,1
MAPK14,1,STAT3,1
MAPK14,1,TP53,1
MAPK14,1,USF1,1
MAPK3,1,JUN,1
MAPK3,1,MAPK8,1
MAPK3,1,RAF1,1
MAPK3,1,RPS6KA4,1
MAPK3,1,STAT3,1
MAPK3,1,TP53,1
MAPK8,1,AKT1,1
MAPK8,1,JUN,1
MAPK8,1,MAPK14,1
MAPK8,1,SRC,1
MAPK8,1,SRF,1
MAPK8,1,STAT1,1
MAPK8,1,STAT3,1
MAPK8,1,TP53,1
MAPK9,1,JUN,1
MAPK9,1,STAT1,1
